title,fraudulent,text
Immediate Staff Needed For Cash Positions.,1,Immediate Staff Needed For Cash Positions.  Immediate Staff Needed For Cash Positions.No Experience Required And Never Any Fees.Work Anytime 1 To 2 Hrs Daily In Free Time.Earn Easily $400 To $500 Extra Per Day.Totally Free To Join &amp; Suitable For All.Take Action &amp; Get Started Here:-#URL_3642a95d0b2308884802999b8ba4f004b69950c970d00995af84c2270b7b570c# No Experience Required And Never Any Fees. Totally Free To Join &amp; Suitable For All.
Frac Supervisor,0,"Frac Supervisor Valor Services provides Workforce Solutions that meet the needs of companies across the Private Sector, with a special focus on the Oil &amp; Gas Industry. Valor Services will be involved with you throughout every step of the hiring process and remain in contact with you all the way through the final step of signing of the employment contract with your new employer. Valor Services was founded with the vision of employing the unique skills, experiences, and qualities of America’s finest veterans to provide Private Sector companies with precise and concerted value-added services – and America’s finest Veterans with an optimized career opportunity.We are eager to get the word out to veterans that there are ample opportunities for employment in the private sector and that you are the ideal candidates to fill those positions. Valor Services Your Success is Our Mission. ™  About the Company:This is an amazing opportunity for individuals with fracing experience to work with one of the most robust oil &amp; gas companies in the industry. Strong compensation and benefits packages are available to outstanding candidates who want to join a company with a great employee culture, extensive growth potential, and job stability. Only candidates with previous frac experience will be considered. *This job will require relocation to North Dakota.Summary:Coordinate with all vendors associated with frac operation. Ensure location is set up in a way that will work for the operation. Go over job design and job parameters with frac company and WL company; make sure service companies have correct design and everything needed for the job. Go over all company procedures with frac company, WL company, and all other vendors. Make sure that all water tests, sand sieve tests, and bench tests have been completed. Do a walk around and inspect rig up before priming up and pressure testing. Hold pre job safety meetings.Frac Operation Duties:Oversee pressure test and setting of pop off. Make sure pump trips are adjusted accordingly.Do all job calculations and check with frac company.Oversee pumping to make sure rate and pressure is adequate, make adjustments if needed.Periodically check the fluid throughout the job, also monitor break testHelp service companies with any problems that may arise during the job.Collect and report all data throughout the job.Wireline Operation Duties:Check over the plugs that have been brought to location.Verify that WL has correct design, check all plug and per depths.Ensure that company standards are met during pump downs.Log the liner coming out of the hole after the first WL run.Post-Job Operation Duties:Supervise rig down of all vendors.Make sure the location is clean and that water is consolidated or moved off location.Report all costs associated with frac; make sure cost edit is done in a timely manner; make sure all data from frac operation is sent to appropriate location.Misc. Job Duties:Report all incidents and near misses to the safety dept.Report all spills to environmental dept.Make sure everyone on location is working in a safe manner and working in safe conditions. Experience: 2-5 years of previous frac experience is required. At least some supervisory experience in this field is required.Education: High school diploma is required. Strong compensation and benefits packages are available, commensurate with experience."
Online Marketing Director,0,"Online Marketing Director Ameritech Media wants to give industry thought-leaders the marketing communications they need to stay out in front. We’re the next generation you’ve heard about - making radical advancements in full-service marketing communications and how they’re delivered. With today’s technology wired into our serious creative approach, it’s hard to find another who delivers our blend of strategy and creative this way.  It’s clear we’re not a typical ad agency, marketing firm, integrated whatever - we are a full-service, any message on any platform company where you get exactly what you want, how you want it.  The Online Marketing Director is responsible for the creation andimplementation of digital/online marketing across different channels targetedto drive brand preference, conversation and inbound leads. Scope of workincludes developing, planning, producing, measurement of online marketing andsocial programs.You must have an experienced online strategy, creative ad production andmeasurement acumen that maximizes our business equities, resource efficienciesand market impact. ResponsibilitiesDevelop Online marketing strategiesExecute holistic online marketing campaignsDrive media planning and creative execution within budget parametersDeliver online briefsCreate and implement CRM programDevelop social program that includes media, creative and internal assetsReport ongoing campaign metricsOther tasks as assignedSkills:Excellent skills in planning and communication.Good insight into advertisement/messaging creativeExperience with online measurement tools, performance tracking, software for executing digital programsAbility to forge good teamwork with other departments.Exceptional project management skillsExceptional detail orientationAbility to work independently with little or no direction; strong decision making skills and problem solving skillsAbility to multi-task in a fast-paced, customer-focused environmentAbility to lead teams EducationBachelor’s degree Experience5-7 years of experience, preferably in Online Marketing This position includes an excellent benefits package."
Director of Product Management,1,"Director of Product Management Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral             Director, Product Management | San Mateo, CASan Mateo, CA, United States Seeking a talented and experienced Director of Product Management to lead the design of key components of an advanced platform for video advertising. Great for a senior product leader who thrives off chalenges, builds industry-changing products, and can lead a team. The product team is a small group of smart, creative, and disciplined professionals that are eager to master challenging projects and respond well to mentorship and are accustomed to operating under a lean startup environment and practice lean software development. We labor over every product prioritization decision, and we believe in building minimal viable products. Build, measure and learn!Job Responsibilities:Build expertise of the current structure and dynamics of the digital video advertising industry, and develop a point of view about market trends and emerging opportunities.Meet frequently with customers, potential customers, and partners - to develop a deep understanding of their current business processes and product needs.Develop a comprehensive vision and roadmap for product, or suite of products. Build alignment among internal and external stakeholders around this vision. Set aggressive goals for execution, and chart progress.Lead your team of product managers to develop designs that address needs and requirements expressed by internal and external customers. Designs should be simple, minimal, extensible, consistent with existing functionality, and easy to use.  Work with UX designers and engineers to continuously deliver new functionality, in a way that is seamlessly integrated into robust infrastructure and a beautiful user interface.Attract, hire, inspire, and grow a team of superstar product managers.   Job Requirements:Must be able to demonstrate and/or describe a substantial software product that you built personally, either on the job or as a personal project, demonstrating your ability to envision, define, and execute independently.5-10 years working as product manager, including 2+ years as a senior product lead on a large-scale web application or enterprise software product with front and back-end processes.Deep knowledge of user experience principles, and experience applying them to build usable user experiencesDeep knowledge of application design principles, including object modeling, extensibility, SOA, etc., and experience applying them to build complex software applicationsProven and continued success collaborating with cross-functional groups including corporate management, engineering, client services, enterprise customers, and direct sales teams.Exceptional and demonstrable problem-solving and design capabilities.Experience with online advertising preferred, but not required.Strong technical aptitude: BS or MS in technical field from top university. Computer science degree preferred.MBA welcomed but not required. "
"  Resources Change Management, Process Excellence and Change Enablement Manager",1,"  Resources Change Management, Process Excellence and Change Enablement Manager  Change Management professionals provide knowledge and experience related to the skills, structures, tools and support mechanisms needed to manage change and to foster an environment conducive to sustaining that change.Adapts existing methods and procedures to create possible alternative solutions to moderately complex problemsUnderstands the strategic direction set by senior management as it relates to team goalsUses considerable judgment to determine solution and seeks guidance on complex problemsPrimary upward interaction is with direct supervisorMay interact with peers and/or management levels at a client and/or within AccentureDetermines methods and procedures on new assignments with guidanceDecisions often impact the team in which they resideManages small teams and/or work efforts (if in an individual contributor role) at a client or within AccentureAdditional responsibilities in at least one of the following change management offering areas:Change Strategy· Application of the change architectures, models, and frameworks used to execute global, multi-polar, multi-workforce, cross-generational, or multi-cultural, complex change successfully· Assist client executives to communicate frameworks, cultural norms, and stakeholder engagement practicesOrganization Change Enablement· Approach Change Management as a ""Science"" instead of an ""Art"" by using data-driven and predictable methodology· Utilize methods, estimators, and frameworks that integrate tightly with the broader project· Drive stakeholder engagement, leadership alignment, impact analysis, learning/training, communications, business readiness, deployment, and adoption measurement· Help re-align the organization, its people, and their actions with critical business imperatives and specific objectivesOrganizational Change Capability· Support client’s in achieving sustainable performance and/or improvements within their organizations· Assist client’s in building strong change management capability within their workforce· Assist with the workforce transition from internally managed operations to outsourced operations· Identify opportunities to provide or create additional client value· Develop trusted relationships with key clients or internal customers · Ability to meet travel requirements, up to 100% Basic Qualifications· Minimum 4 years of consulting experience or other relevant experience related to successful delivery of change management work in the disciplines of change management methodology, job/role/organization design, stakeholder identification and engagement, sponsorship alignment, marketing or communication, training/performance support, organizational readiness, or transition to outsourcing· Bachelor's DegreePreferred Skills· Some background in individual and/or organizational psychology· Experience leading at least one other person· Experience working with offshore and third-party vendors· Experience with global, cross location or multi-national projects· Experience in a delivery role in a complex and integrated environment· Capable of meeting with senior executives (Directors and Vice Presidents)· Skills and hands on experience implementing portions of large-scale ERP organizational change programs related to enabling systems and process change. This may include but is not limited to:· Change Network Strategy, Design, and Implementation· Organizational Impacts Identification and Mitigation Plans· Organization Alignment· Role Mapping· Super / Power User Strategy, Design, and Implementation· Skills and experiences in other related Talent &amp; Organization Performance areas such as Human Capital &amp; Organizational Effectiveness, Learning &amp; Collaboration, and Human Resource and Talent Management· Experience in using process mapping, training development, or web-page development applications· Experience in Project Management such as work planning, status reporting, issue / risk management, and estimating· Strong proficiency in using Microsoft Office products (e.g. Word, Excel, PowerPoint)Professional Skill Requirements· Proven success in contributing to a team-oriented environment· Proven ability to work creatively and analytically in a problem-solving environment· Desire to work in an information systems environment· Excellent leadership, communication (written and oral) and interpersonal skillsAll of our consulting professionals receive comprehensive training covering business acumen, technical and professional skills development. You’ll also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career. "
Tech Lead Embedded ,0,"Tech Lead Embedded  e-Solutions Inc. is a talent-driven consulting company providing individual consultants, project teams, and strategic outsourcing services to clients in a wide range of industries. We leverage our recruiting expertise to deliver high-end consulting services for a variety of #URL_a4ff1be4219038ee0b69a0d728becbea0371cc1dede5a41ed0210ed3f8502d3b#-Solutions Inc. understands the technology, work culture and the working standards of the clients. Some of our esteemed clients to whom we are providing effective services in the area of staffing  Title                       : Tech Lead EmbeddedDuration               : Full timeLocation                  : Mounds View-Minnesota Experience in architecting/designing products (preferably medical devices) with Wireless capabilities [WiFi, BT, BT-LE]Strong experience in any platform [Win, Android, iOS] ? system knowledge, OS internals, device drivers and application developmentAbility to understand high-level concepts/design down to detailed bit/bytesSolid design skills and debugging approaches/techniquesExperience in integrating software in a regulated industryExperience and capability to provide creative solutions and can adjust to the customer?s demandsExperience with Real-time patient-centric data desirable·         Minimum Experience Required: 5-8 YEARS  Mandatory Skills: Medical Data Acquisition and #URL_944e99d5f6b903a10af885a7f86a10f6670b746ac7f90bf5c61ad07d98478378# Mobile Systems, Diagnostics-BSP, Embedded Software Design, RTOS, Embedded Debugging, RFID, System Software Design, GIS - Geographical Information Systems, Unix Developer Tools, Embedded, Embedded Linux, RTOS Device Drivers, J2ME Desirable Skills: C Programming, Embedded and System Software "
Remote Data Entry Rep Needed,1,"Remote Data Entry Rep Needed  We're looking for self-motivated individuals who are interested in working from home by performing online data entry work, and other types of work from home duties. . You can choose to work: Full-time, Part-time, Flexible, Temporary, or in a Permanent position. You will be able to select your position in: customer support, typing, data entry, email support and more.We have positions ranging from entry level with a starting pay at $12 per hour and up to six figure salary positions.These positions not only pay competitive wages, but also offer flexibility that will give you full control over your work schedule.Home Office SuppliesComputer with internet accessQuiet work area away from distractionsMust be able to work independently and get the job done with little guidance.Must Apply Online At: #URL_417276ac5438650aa78c2c58617f773cdb9494ed6a0d63447de07c782829a228#-#URL_6c4ffad8fe9cb38c2ae5c761c0028893f9ecfb299e88db7d5dd85e0b7ba65666# Must be able to work from home "
SAP CRM Developer with ERMS ,0,SAP CRM Developer with ERMS   CRM Developer with ERMS experience – with Integration skills including middleware and UI experience to provide customer knowledge sharing and assistance is system set up.   
Project Manager: Engineer,1,"Project Manager: Engineer Process Unlimited and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_481fc4262f0c07ace903481f1e036034d0bf128e0a91a2313344f34a26bca732#a).  #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1# We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Develop budget and schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc.* Able to develop the project execution plan.* Interface with the client and develop rapport.* Request appropriate resources to execute the project work.* Manage the project personnel.* Effective communication skills - with the client and inter discipline personnel within the company.* Project tracking/monitoring - budget and schedule with the help of project control personnel.* Perform engineering calculations to support the project* Follow and implement standard project procedures per ProU Project Procedure Manual* Ability to relate project drawings with field construction.* Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully.* Ability to control the quality of project deliverables. Qualifications:Managed small to mid-size engineering projects.10 to 15+ years experience as a Mechanical, Chemical, or Process Engineer required.Five+ years experience as a Project Manager/Project Lead required.Oil &amp; Gas Upstream experience involving production surface facilities &amp; treatment (May have gas process plant experience).Familiarity with process industry standards and applicable codes like ASME, API, ANSI, NACE, etc.Must possess a minimum of a Bachelor's Degree in Mechanical or other Engineering field from an accredited university. Experience Preferred:PE registration in California preferred.PMP registration a plus. What is Offered:* Clean, safe, enjoyable environment to work in with a great company culture that values work/life balance.* Competitive base rate + Incentives + Full Benefits Package + Retirement 401K 100% matched by company.* Relocation Assistance. * Signing Bonus.* Opportunity for Advancement.* Trips, outings, rafting trips, lunches, client appreciation get-togethers, company parties, great people, great culture!"
Technology Consultant - Outside Sales  ,1,"Technology Consultant - Outside Sales    Apply below using link#URL_00962c0bdac3ecf40b2931cbb6493290c8712818f9b055eb964210d5ecab508a#SkyNet Managed Technology Services, a leading IT consulting firmbased in Columbus, Ohio, is seeking a dynamic sales professionalwho can hunt, identify opportunities, and sell technology solutionsand professional services. This is a consultative sales positiondealing directly with a variety of business contacts from C-Levelto Administrative. Experience in selling technology serviceswill give you the advantage.Responsibilities:Actively pursue new business opportunities through prospecting,cold calling, qualifying, scheduling appointments, andnetworkingMeet or exceed targeted monthly, quarterly, and annual salesactivity and sales revenue goalsMaintain the Customer Relationship Management (CRM) database ofclient and prospect informationManage activities, leads, opportunities, and salespipelineRequirements:Bachelor's degree or equivalent preferredMinimum 3 years consultative business-to-business salesexperienceDemonstrated success in prospecting, cold calling, qualifyingand overcoming objectionsFamiliarity with technology industryExceptional verbal, written, interpersonal, and presentationcommunication skillsCustomer focused attitude ensuring the highest level of supportto our customer baseProfessional appearance and conductAbility to quickly establish rapport with a variety of businessdecision makersAbility to understand and execute a professional salesmethodologyUnderstanding of Microsoft Office productsExperience with CRMHigh energy, self starterSkyNet Managed Technology Services was founded in 2002 toprovide technology support to small and medium sized businesses. Wecover a wide-range of solutions for businesses throughout thecountry. Everything from project consulting, internetsolutions, and a complete IT department. Our objective is toeradicate the hassles of IT from our client's lives and let themfocus on dominating in their industry.Excellent compensation plan includes base pay, commissions,performance incentives, training and benefits.To Apply:E-mail resume and cover letter with salary requirements to.  "
Customer Relations - Full Time - No Call Center ($20 an hour plus commissions),0,"Customer Relations - Full Time - No Call Center ($20 an hour plus commissions) LEI Home Enhancements, is an Ohio based company that has been installing windows, siding, doors and decks in homes throughout the Tri-state, Dayton, Indianapolis and Columbus for over seven years.With pride in our work, honesty and integrity in our professionalism and a companywide dedication to customer satisfaction, we offer a wide range of remodeling services to homeowners.Whether your project is large or small, we understand the trust and confidence each customer places in our skilled hands.  That's why we use only superior quality products and exceptional craftsmanship to achieve long-lasting beauty, performance and value for your home.  We take every measure to carefully ensure our craftsman are properly trained in all phases of home improvement.  Likewise, our sales staff and customer service representatives draw upon their years of experience for quality installations.From day one, we will welcome any questions and concerns you may have during the renovation process.  It is our goal to provide you with beautiful and practical home improvements that will stand the test of time, along with the peace of mind that you have made an excellent selection for your home. DescriptionLEI Home Enhancements is looking for entry-level sales, marketing and customer service professionals!! It is a priority for our team to provide the best customer service while maintaining quality customer relationships. We do this by servicing existing customers and introducing new customers to the home improvement products they are interested in. Put those impeccable customer service skills to good use! Our entry-level reps earn upwards of $400-600/week plus commissions! JOB REQUIREMENTS:Ambition, strong work ethic and a willingness to learnAn ability to handle multiple, competing prioritiesA desire to work and contribute in a team-based environmentExcellent communication skills and follow-through No experience required, we provide full training. All openings are ideal for anyone with a customer service, sales, hospitality or retail background.Multiple positions available. Put those impeccable customer service skills to good use! Our entry-level reps earn upwards of $400-600/week plus commissions!Guaranteed Base plus commissions ($15-$20 an hour)BenefitsPaid trainingVacation Pay"
Customer Service Imaging Technician - Part Time,0,"Customer Service Imaging Technician - Part Time Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. For almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. As a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth. The Customer Service Imaging Technician will be based in our Richfield, OH client location. The right candidate will be an integral part of our talented team, supporting our continued growth. Responsibilities:Perform any and all duties as assigned by management to include: mail services, copy services, hospitality services, fax services, courier and messenger servicesWork varying shifts between 8:00am to 7:00pm based on operational needsMaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudeDemonstrate flexibility in satisfying customer demands in a high volume, production environmentConsistently adhere to business procedure guidelinesTake direction from supervisor or site managerParticipate in cross-training and perform other tasks as assignedMaintain all logs and reporting documentation; attention to detailAdhere to all safety procedures Qualifications:Minimum of six months customer service related experienceKeyboarding and windows environment PC skillsExcellent communication skills both verbal and writtenAbility to effectively work individually or in a team environmentCompetency in performing multiple functional tasksAbility to meet employer's attendance policyAvailability to work flexible schedule to meet changing business needsLifting up to 55 pounds or maximum allowed by state law with or without accommodationStanding for long periods of time and/or significant walking with or without accommodationWillingness to submit to a pre-employment drug screening and criminal background checkHighschool Diploma or Equivalent required, college experience preferred "
Outside Sales Professional-Oronoco,0,"Outside Sales Professional-Oronoco ABC Supply Co., Inc. is the nation’s largest wholesale distributor of roofing and one of the largest distributors of siding, windows, and other exterior building products. Since our start in 1982, we've grown to become a national organization with over 450 locations in 45 states. Our mission is to be the biggest, best, and easiest service company distributing exterior building products. We fulfill that mission by stocking the brands and products contractors need at competitive prices, operating a state-of-the-art delivery system, and actively listening to our customers. We know that we will only be successful when our customers are successful. That’s why we make good on our promises every day. As an Outside Sales Representative, you must have excellent sales talents as well as the willingness to learn the ABC Supply sales approach. It will also be very helpful to your role as an Outside Sales Representative if you have existing knowledge of exterior building product lines such as siding, roofing, and windows.  This will not only to lend credibility to your sales presentations, but also to assist the Branch Manager in the selection of new product lines. It is also vital for your role as an Outside Sales Representative that you have empathy for your customers and their needs, and always provide them with the best possible service. Track Record of Sales Success – B2B or B2CNo minimum experience required, but specific industry knowledge is strongly preferredFamiliarity with product lines and the overall building contractor process is strongly preferredPast Experience in a production-measured environment, highly desiredValid driver’s license, clean driving record, and own reliable vehicleExceptional verbal and written communication, interpersonal and public speaking skillsProfessional appearance and demeanorSuperior time-management and planning skillsExcellent attention to detail and organizational skillsPositive, team-oriented attitudeSelf MotivatedHigh school diploma or equivalent; college degree preferredStable job historyWillingness to travel within territory, as neededAutomobile and Insurances to company standards As an Outside Sales Representative, you will receive paid sales training, which will include professional development sessions with veteran ABC sales representatives! You will also receive consistent product training, particularly when we adopt new products and product lines. You will find there is plenty of opportunity for growth as an Outside Sales Representative, both within the role itself, and possibilities in Management. We value your hard work and professional dedication as an Outside Sales Representative, and will reward you with an excellent compensation package. We have a very competitive commission-based pay structure, and you will continue to receive commission on your established accounts with every purchase they make. You will also receive a comprehensive benefits package!"
Sales Representatives,0,"Sales Representatives We run #URL_34e817f2a402b90fa03423a629596c1d7d48cd15c859b303842003275d56829c#, a SaaS form management solution that helps businesses and professionals create online forms, and collect data without the need for technical skills, or IT.We're bootstrapped, profitable, growing rapidly, and hiring employee #10 and beyond!We embrace remote work. Our team is spread across 3 different countries. You're welcome of course to move to Bloomington, Indiana, where the majority of the team is located. It's been named one of the best cities for doing business and perhaps more importantly, is the #7 in the US for best places to bike!We run a lean operation with an impressive roster of customers, so your work will not go unnoticed. Everything you'll work on will make our customers happier and give us a better competitive edge.As so many customers depend on our service, and as our team grows, we also value process-oriented people who can help us make our product even more reliable and easier to maintain. We’re looking for focused and passionate people to help grow FormAssembly, our Online Form Automation solution. Amazon, PayPal, Disney, UCLA, Harvard and thousands of other organizations rely on FormAssembly to help take their web forms and data collection to the next level.You’ll help nurture and develop existing leads into happy customers using no-pressure tactics, over email and phone. You’ll do web demos of our product and help prospective customers determine if FormAssembly is a good fit for their need.You’ll travel periodically to represent the FormAssembly brand at industry events, fine-tune our Salesforce database, and have a lot of fun along the way.We’re looking for genuinely nice people, that are great to work with, that are respectful and who won’t hesitate to put the customer’s best interest first.Fantastic communication and organization skills are a must.Salesforce experience is a plus.Position is full-time, local or remote.  "
English Teacher in China,0,"English Teacher in China  US-Sino New Power HR and Cultural Service Inc. is providing different programs of teaching English in China for native speakers. These are fifty- day, four-month, one-year and longer internship programs with generous payment, and the candidates will have an opportunity to come to China mainland and teach English in Chinese high schools in divergent locations. Excellent candidates will collect recommendation letters from the employer school.It is a great program to teach English, to learn Chinese and the history of this great country, and to establish international network. The experience will be a lift for your personal career development and an marvelous investment in your profession in education. Moreover, it's a trip to having some fun, to earn some paychecks, and to build your resumes at the same time!The followings are the examples of our programs. Contact us if you are interested or desire to know more programs of ours.1. BEIJING P Children SchoolSchool type: INTERNATIONAL CHILDREN’S SCHOOLESL ENGLISH TEACHER WANTED1. School location:Beijing City,China.2. Yearly pay:approximately RMB270,000(USD45,000).3. Native English #URL_a7005655f79fae0f6915ab290f134b9200cee92caab9bcc0343c4ed302d86ae6# least 2-year teaching experience.4. BA or higher degree in the field of early childhood education or TESOL/EFL certificate.5. At least 1-year contract signed,starting from August 15th,2014.6. Students age:2-6yrs old.7. Full-time homeroom teacher collaborated with 3 Chinese teachers.8. 8:30~17:00 on #URL_2a05671aaee583f1063a9e738aee9266f5a2984bb36e45e607a5f7e126bb6a21# #URL_869bcb2b28ccc00c3455a566b39d771a3116a031bcadd23c5ae3e99ae28f7e3e# 20 office hours per month(school activities participation included).9. Weekly meeting on Mondays,and class preparation is needed.10. On going academic training and workshops.BENEFITS1. Renew contract:RMB30,000(1-year contract completed).2. Airfare:a round-trip international flight tickets reimbursement(at least 1-year contract completed).3. Free lunch with children on working days.4. China national holidays and paid summer&amp;winter vacation.5. Working visa,Residence Permits,Foreign Expert Permit provide.6. Free housing.2. Shanghai L training schoolsStarting date: ASAPLocation: ShanghaiSchool type: training school Requirements:1, Nationality: Native country (UK, USA, Canada, Australia, South Africa, Ireland is also acceptable)2, Age :23-40 years old3, Contract period: 1 year and 3 months (3 months probation period +1 year formal contract)4, Education degree: Bachelor degree or above + TEFL / TESOL / CELTA (over 120 hours)5, Expected date: the sooner the betterResponsibilities:1, Oral English Course  2, Routine activity + club + open class 3, Students age :3-18 years old4, Class size :8-155, Workload: stay in office and teach 36 hours weekly Benefit:1, Monthly salary :13000-16000 RMB /month2, Provide working visa and State Foreign Experts Certificate3, Flight tickets:  RMB 5000  at the end of the contract period 4, Holidays: 11 public holidays per year + 5 days annual leave5, 2 days off per week (need to work on Saturday and Sunday); working hours are from 12:00pm -8:00pm usually; 6, Accommodation: no7, Provide Commercial Insurance8, Other subsidy:  2,000 yuan if the teacher comes from oversea directly  3. Internship in China (summer camp)We are looking for candidates who are ready to join this program in China. It is a great opportunity to travel a lot in China, attend TESOL training and get certificate, learn Chinese language and culture and teach in China. Meanwhile, you will build independence and confidence, make friends and build international network. This experience will be a vehicle for personal growth and an investment in professional future.Program Period* Jun 29th - Aug 15th(~50 days)Services and Benefit* Free airport pickup and free accommodation* Free 24/7 support and visa arrangement support* 1 day city tour, 2 days travel and 3 days outing* Provide orientation training and guide (mentor)* Free TESOL/TESL/TEFL training and certificate * RMB6, 000 allowance totalNote: Please take care your own airfare by yourselfProgram Procedure* Apply via email with your CV* Interview face-to-face, or/and by Skype or phone * Offer and VisaRequirements:* Native speaker students* 20+ years old and health* Major in TESOL, TESL,TEFL, or certificate holder is a plusResponsibilities:* Organizational, Welcome and Farewell ActivitiesPreparation and teaching English from the assigned book Facilitation of various activitiesAbout usUS-Sino New Power HR and Cultural Service Inc. (New Power) is committed to promoting human resources, education and cultural exchanges between China and the United States.Web: #URL_ae2efb6d25a3483527d105646a458b2e5a17fe7a70e3e2b9eb9936657bfed2ae#149 Madison Ave, New York, NY10016 Vary by different positions Vary by different positions"
Web Designer,0,"Web Designer We are a young, dynamic, fast-growing digital marketing agency established in February 2013 and headquartered in Athens, Greece. We are storytellers; we combine strategy with creativity and technology in order to create user-centric campaigns. We think of ourselves as Digital Brand-Builders; a team comprised of individuals with great experience in both digital communications and strategic marketing.  We offer our clients a 360 service that covers the entire spectrum of a brand's existence across digital channels. Our mission is to create world-class interactive experiences, empower audiences to connect and share, and thus, deliver measurable results through creative innovation.We are looking for the next passionate member of our team, so we can create interesting and innovative things together. Interweave is looking for a Designer, a design Thinker, to create and execute designs across platforms and channels (products, platforms, websites, mobile, campaigns). You will collaborate with strategists, marketers, information architects and copy writers, and build with them great brand experiences online. Our goal, and part of your job, is to create user-centric campaigns, highly engaging, which exceed client expectations and objectives. Responsibilities•     Develop creative ideas and quality design•     Understand the brief and produce designs that are in keeping with the brief, brand and overall strategy•     Collaborate with internal teams, as well as, client teams when necessary•     Effectively articulate the reasons for every decision in your design and how they enhance the brand values•     Show attention to detail •     Communicate thoughts and expertise to the rest of the team•     Be up-to-date on new technologies and trends in your field and share them with others•     Respect deadlines and adhere to them  Mindset•     A passionate person, who loves what he/she does•     Positive attitude•     A combination of a thinker and a doer•     Team-oriented and work well with others•     Someone who likes to challenge him or herself in order to be better at his/her craft and thus, produce higher quality material•     Honest and fun-lovingQualifications•     5+ years of experience in visual design •     Experience in Web Design and Creating Brand Identities •     Exceptional design skills, with knowledge of Adobe Suite•     Speed and proven ability to balance multiple projects while meeting tight deadlines•     Knowledge of Responsive Web Design, UX Design, Progressive Enhancement and Parallax Scrolling •     Excellent English reading, writing and speaking skills•     Being able to write front-end code with HTML5, CSS3, Java Script and JQuery, is considered a plus About UsWe are a young, dynamic, fast-growing digital marketing agency established in January 2013 and headquartered in Athens, Greece. We combine strategy with creativity and technology. We think of ourselves as Digital Brand-Builders; a team comprised of individuals with great experience in both digital communications and strategic marketing. Offering our clients a 360 service that covers the entire spectrum of a brand's existence: from brand positioning, to brand expression, to their online presence. Our mission is to create strong brand experiences, empower brand teams and have fun in the process.We are looking for the next passionate member of our team, so we can create interesting and innovative things together.   "
